product_category_name_english,review_categories_str_modified,order_estimated_delivery_span_hours_from_purchase,order_delivered_customer_span_hours_from_purchase,order_delivered_carrier_span_hours_from_purchase,shipping_limit_date,order_delivered_customer_span_hours_from_carrier,distance_bin_Bin 1,distance_bin_Bin 2,distance_bin_Bin 3,distance_bin_Bin 4,distance_bin_Bin 5,modified_review_score,distance_between_customer_and_seller
cool_stuff,Delivery_Issue,526.7304886831275,479.91264041514046,105.45360286028604,2017-11-29 19:32:15.703703808,372.7953937728938,35,30,17,15,8,2.009259259259259,332.93430006057747
cool_stuff,Delivery_Praise,495.82099444444447,183.25929166666666,58.53140833333334,2017-12-02 02:21:49.980000000,124.72788333333334,85,40,33,28,9,4.82,290.1438240093735
garden_tools,Delivery_Issue,572.793175990676,566.0856007226739,90.6890860899067,2017-12-05 07:28:53.517482496,473.059810298103,20,25,29,66,3,1.6223776223776223,482.0522391834178
garden_tools,Delivery_Praise,546.028243546577,220.98513959390863,68.29133812746757,2017-12-14 18:45:28.005050624,152.69380146644104,34,60,64,36,4,4.767676767676767,368.86412370132064
perfumery,Delivery_Issue,505.9992006802721,474.2349691358025,115.83294871794872,2017-12-21 21:30:23.775510272,351.0671502057613,35,30,20,12,0,1.7959183673469388,280.124761272101
perfumery,Delivery_Praise,508.8066915422886,184.86035102266445,68.3828883360973,2017-12-12 14:23:00.014925312,116.47746268656716,83,39,45,16,6,4.8606965174129355,261.35910276639265
baby,Delivery_Issue,537.6198877068558,634.7194871794873,145.5160798611111,2018-01-11 04:53:14.680851200,488.10666310541313,25,20,31,16,2,1.5851063829787233,342.71572613466645
baby,Delivery_Praise,481.4784755030621,182.512876984127,61.641981922398585,2017-12-25 22:32:08.464567040,120.87089506172839,36,42,31,12,5,4.7795275590551185,297.54249018205377
electronics,Delivery_Issue,534.3686293859649,606.3785862354891,61.928043650793654,2018-02-06 02:24:58.394736640,545.784763681592,16,16,21,12,8,1.4342105263157894,407.6403001767051
electronics,Delivery_Praise,463.6550222222222,180.7493458781362,54.20508222222222,2018-02-13 10:39:01.440000000,126.35220878136201,57,26,18,15,6,4.784,247.62366879810526
stationery,Delivery_Issue,537.1249250440917,555.8241142557652,91.93848360655737,2018-02-10 23:37:35.317460224,466.87309748427674,22,16,18,5,1,1.7619047619047619,283.73234032056524
stationery,Delivery_Praise,474.18760551248926,194.28552756244616,69.00646425495262,2018-02-11 03:32:20.279069696,125.27906330749354,59,33,27,9,1,4.775193798449612,213.39892837775156
fashion_bags_accessories,Delivery_Issue,523.723311546841,457.449403073286,84.10965856481481,2017-11-08 20:58:58.019608064,374.8704432624113,19,13,11,7,0,1.9607843137254901,270.32420704951363
fashion_bags_accessories,Delivery_Praise,465.6196271929825,142.89602962962962,43.73127558479532,2018-01-07 18:25:13.144737024,99.65261481481481,34,17,19,3,3,4.842105263157895,244.11175456148305
pet_shop,Delivery_Issue,559.9618055555555,454.6105314009662,113.55966666666667,2018-01-07 21:50:32.555555584,337.7843357487923,11,19,16,6,2,1.962962962962963,317.3444225597338
pet_shop,Delivery_Praise,443.775545392954,186.21272696476964,68.3585840108401,2018-03-13 14:32:21.829268480,117.85414295392954,24,17,23,17,1,4.878048780487805,318.09879878936925
office_furniture,Delivery_Issue,771.6363675213676,648.792305936073,295.7900814814815,2018-01-14 23:33:03.827838720,348.4535388127854,24,42,10,2,0,1.7564102564102564,233.29804064538723
office_furniture,Delivery_Praise,653.3912620772946,355.833961352657,202.61444444444444,2017-12-01 22:30:20.978260992,153.21951690821257,18,18,8,2,0,4.6521739130434785,199.82264935003744
consoles_games,Delivery_Issue,627.2510380116959,504.5993010752688,195.9626164874552,2017-10-30 17:00:31.500000000,308.6366845878136,11,8,7,8,4,1.8421052631578947,400.1873378971132
consoles_games,Delivery_Praise,533.9835296934866,217.27403735632186,77.649219348659,2017-12-02 12:32:49.465517056,139.62481800766284,15,7,14,17,5,4.827586206896552,418.321641325192
luggage_accessories,Delivery_Issue,515.4914166666666,451.26361111111106,60.140394736842104,2017-12-10 11:28:21.000000000,390.2662418300654,5,10,4,1,0,1.65,246.7103699038894
luggage_accessories,Delivery_Praise,485.48137606837605,163.37878632478632,48.95653418803418,2017-11-12 21:52:15.738461696,114.42225213675214,16,25,18,3,3,4.907692307692308,287.7530860090587
home_appliances,Delivery_Issue,553.453373015873,448.7595138888889,100.96558333333334,2018-02-15 19:39:47.809523712,329.56553819444446,5,6,6,4,0,1.8095238095238095,359.4498526532323
home_appliances,Delivery_Praise,482.63681732580034,184.80392184557437,69.21164783427496,2018-02-14 11:52:56.220338944,115.59227401129944,22,18,14,5,0,4.8474576271186445,245.27062904930403
construction_tools_construction,Delivery_Issue,520.7602430555556,542.1382361111112,95.99638888888889,2018-03-12 03:04:45.458333440,442.45534722222226,5,8,2,7,1,1.5416666666666667,413.581815658117
construction_tools_construction,Delivery_Praise,475.0434929078014,172.98532505910165,51.88819739952719,2018-05-08 02:09:39.446808576,121.09712765957448,27,9,7,4,0,4.74468085106383,199.9982957212287
small_appliances,Delivery_Issue,565.3140079365079,470.86759920634915,134.0557962962963,2017-11-01 18:15:20.333333248,328.510376984127,4,6,4,3,4,1.8571428571428572,463.43683636754366
small_appliances,Delivery_Praise,550.1618194444444,187.2525138888889,49.93510416666667,2017-11-24 10:46:09.750000128,137.3174097222222,16,13,5,4,2,4.75,291.1642442835709
musical_instruments,Delivery_Issue,618.8572807017545,617.2468128654971,197.84944444444446,2017-12-30 04:56:48.105263104,419.39736842105265,5,6,4,4,0,2.0,323.497922113381
musical_instruments,Delivery_Praise,445.301212962963,186.19463888888887,69.36573148148149,2018-03-08 21:24:15.433333504,116.8289074074074,13,7,7,3,0,4.866666666666666,238.07833221172135
books_general_interest,Delivery_Issue,514.4872453703704,331.74625000000003,92.19679012345678,2018-01-31 01:54:22.749999872,246.76375,4,2,4,2,0,1.5833333333333333,308.8586567036338
books_general_interest,Delivery_Praise,484.27701612903223,220.02868279569893,75.88281362007169,2018-02-17 22:39:41.258064384,144.14586917562724,10,9,8,3,1,4.935483870967742,301.22352967782956
home_construction,Delivery_Issue,513.6859343434344,633.1373684210525,154.15208994708996,2018-04-06 10:15:22.636363520,482.2055263157894,8,9,3,1,0,1.9090909090909092,214.33196071868488
home_construction,Delivery_Praise,458.3818783068783,210.39624338624338,93.03227513227515,2018-04-14 07:19:05.428571392,117.36396825396825,10,5,6,0,0,4.904761904761905,206.26785560219727
food,Delivery_Issue,364.1680381944444,594.8334523809524,105.64792592592593,2018-03-17 04:26:05.437499904,489.254880952381,10,1,5,0,0,1.625,169.7316714920599
food,Delivery_Praise,378.90198028673836,125.64460573476703,40.03851254480286,2018-03-29 16:53:38.193548288,85.60609318996416,19,4,4,4,0,4.903225806451613,210.60001069385345
furniture_living_room,Delivery_Issue,549.7209477124184,578.7363368055555,92.42253267973855,2018-02-22 17:25:34.176470784,482.90668402777777,2,10,2,2,0,1.9411764705882353,302.1190057955885
furniture_living_room,Delivery_Praise,643.980931372549,208.82210784313725,75.7969117647059,2017-12-09 09:04:31.588235264,133.02519607843138,1,9,3,4,0,4.823529411764706,348.220661268429
home_confort,Delivery_Issue,501.5039484126984,522.3768055555555,70.25855158730158,2017-12-19 03:40:49.214285824,446.0123842592593,2,4,4,4,0,1.6428571428571428,389.5306758285064
