product_category_name_english,order_estimated_delivery_span_hours_from_purchase,order_delivered_carrier_span_hours_from_purchase,order_delivered_customer_span_hours_from_purchase,distance_bin_Bin 1,distance_bin_Bin 2,distance_bin_Bin 3,distance_bin_Bin 4,distance_bin_Bin 5,modified_review_score,distance_between_customer_and_seller
drinks,397.50617816091955,64.94573754789272,141.34109195402297,18,5,3,2,1,4.724137931034483,208.42412911958434
dvds_blu_ray,629.2609027777778,87.40062499999999,270.44666666666666,0,0,0,2,2,5.0,818.6346610520391
electronics,465.3785008818342,54.230870811287474,180.33223333333333,60,25,20,15,3,4.785714285714286,246.0972417633952
fashio_female_clothing,362.6377777777777,26.79375,145.12916666666666,1,0,1,0,0,5.0,240.37452782593857
fashion_bags_accessories,468.0437048611111,43.68122916666667,144.57191279887482,35,19,21,4,1,4.8375,243.17462860594128
fashion_male_clothing,449.52496527777777,62.706423611111106,176.58336805555555,4,1,3,0,0,4.875,221.00129750950364
fashion_shoes,681.7312731481481,91.1979398148148,285.4749074074074,0,2,8,2,0,4.583333333333333,442.5778070285484
fashion_underwear_beach,563.9309920634921,98.20551587301587,223.45567460317463,2,2,3,0,0,4.857142857142857,234.37789263284043
fixed_telephony,649.1599603174602,93.3526984126984,195.9947222222222,4,7,1,2,0,4.571428571428571,267.9055374240599
flowers,571.34875,42.82958333333333,198.29166666666666,0,1,0,1,0,5.0,520.7510550424855
food,383.71065104166667,40.25137152777778,124.68547743055555,20,3,4,5,0,4.90625,222.20590749272043
food_drink,422.98645424836604,49.11893790849673,193.0886111111111,6,3,4,0,3,4.823529411764706,455.31201616231226
furniture_bedroom,512.9296296296296,65.88310185185185,170.40641203703703,2,3,5,1,1,4.833333333333333,396.58696026817483
furniture_decor,546.0030604806934,73.14999605988969,204.5630988967691,110,90,54,27,1,4.74822695035461,256.07355070697776
furniture_living_room,629.5743981481481,72.29134259259258,199.6926234567901,3,8,3,4,0,4.833333333333333,329.5629643813674
furniture_mattress_and_upholstery,405.04064814814814,36.364259259259256,164.8347222222222,2,0,0,1,0,4.666666666666667,207.93882492052828
garden_tools,543.7637263888889,67.85706867671692,219.4940954773869,37,61,65,33,4,4.765,366.5472079307519
health_beauty,484.355245031617,66.3466248870822,180.35966463414636,214,110,95,41,31,4.841463414634147,352.20190868636223
home_appliances,480.86158333333333,68.54155555555555,182.76018518518518,24,18,14,4,0,4.883333333333334,242.1869936190251
home_appliances_2,563.3290185185185,67.70131481481481,190.92453703703706,6,3,2,4,0,4.666666666666667,352.7916943270185
home_comfort_2,607.0416666666666,134.50611111111112,189.52694444444444,1,0,0,0,0,5.0,90.09195181781446
home_confort,489.49670634920636,67.61833333333333,269.73612433862434,3,9,4,5,0,4.666666666666667,361.5720884788424
home_construction,460.53205808080804,89.56501262626263,208.244053030303,11,5,6,0,0,4.909090909090909,201.62016702285345
housewares,457.7644164862915,59.8838915945166,175.24649146695717,138,76,56,35,2,4.821428571428571,248.0228889769546
industry_commerce_and_business,493.2387896825397,93.7494246031746,206.56307539682538,9,1,4,0,0,4.714285714285714,172.15902490904838
kitchen_dining_laundry_garden_furniture,528.2236507936508,57.97172619047619,248.53571428571428,5,3,4,1,1,4.357142857142857,308.7998093022262
luggage_accessories,482.1873821548822,49.15310606060606,163.0478324915825,18,27,15,3,3,4.909090909090909,285.3914950805467
market_place,755.353425925926,151.14666666666668,257.7416666666667,4,1,4,0,0,4.888888888888889,236.46223173224305
music,463.4279166666667,46.88763888888889,193.2213888888889,1,1,0,0,0,5.0,179.79067304865762
musical_instruments,447.98394265232974,67.78206093189964,181.65714157706094,14,6,8,3,0,4.870967741935484,240.62365900659557
office_furniture,653.3912620772946,202.61444444444444,355.833961352657,20,16,9,1,0,4.6521739130434785,199.82264935003744
party_supplies,461.09041666666667,54.616527777777776,134.38333333333333,0,1,1,0,0,5.0,263.28927507612326
perfumery,507.8255925013683,67.80116995073892,183.94150383141763,89,34,48,15,5,4.857142857142857,260.51240477050834
pet_shop,450.1380135658914,66.89685400516797,186.63513242894058,28,14,26,18,0,4.872093023255814,318.3117311284625
signaling_and_security,597.3966388888889,39.971111111111114,196.20638888888888,4,3,0,3,0,5.0,297.37276205298554
small_appliances,547.4413624338624,51.61568121693122,194.69935185185184,16,14,6,4,2,4.761904761904762,297.8609416892019
small_appliances_home_oven_and_coffee,414.8071296296296,50.55328703703703,108.15703703703703,3,2,0,1,0,4.833333333333333,193.24339264860262
sports_leisure,482.10882160493827,62.99997901234568,191.96087222222224,176,113,91,59,11,4.84,289.48638988273177
stationery,473.04218162393164,68.94477350427351,193.46661111111112,62,35,25,8,0,4.776923076923077,211.98618726695972
tablets_printing_image,624.9884722222223,74.84,181.3827777777778,1,0,0,1,0,5.0,313.2928166057512
telephony,443.4037391067538,71.1449686819172,180.49715517241378,110,38,34,8,14,4.720588235294118,257.67152441409326
toys,472.87170471841705,49.21978056823948,155.71440385591072,113,44,34,19,5,4.82648401826484,232.40713432943312
watches_gifts,470.13923630672923,53.00513223787167,182.05307668231612,141,118,72,20,4,4.780281690140845,254.67647348887346
